City,State,WOEID,latitude,longitude
Hampton, Virginia,2416847,37.0520315,-76.2856365
Lancaster, California,2436084,34.6981064,-118.1366153
Alexandria, Virginia,2353019,38.8051095,-77.0470229
Salinas, California,2487460,36.6744117,-121.6550372
Palmdale, California,2467721,34.5793131,-118.1171108
Naperville, Illinois,2457000,41.7728699,-88.1479278
Pasadena, California,2468964,34.1476452,-118.1444779
Kansas City, Kansas,2430632,39.1134562,-94.626497
Hayward, California,2419175,37.6688205,-122.0807964
Hollywood, Florida,2423467,26.0112014,-80.1494901
Lakewood, Colorado,2435724,39.631108499999996,-105.11005818223015
Torrance, California,2507261,33.8358492,-118.3406288
Syracuse, New York,2503418,43.0481221,-76.1474244
Escondido, California,2400183,33.1216751,-117.0814849
Fort Collins, Colorado,2405641,40.5508527,-105.0668085
Bridgeport, Connecticut,2368947,41.1670412,-73.2048348
Orange, California,2465890,33.7500378,-117.8704931
Warren, Michigan,2514383,42.4932575,-83.0062746
Elk Grove, California,2398401,38.4087993,-121.3716178
Savannah, Georgia,2489314,32.0809263,-81.0911768
Mesquite, Texas,2449851,32.7666103,-96.599472
Sunnyvale, California,2502265,37.3688301,-122.0363496
Fullerton, California,2408095,33.8708215,-117.9294165
McAllen, Texas,2447466,26.2043691,-98.230082
Cary, North Carolina,2375810,35.7883046,-78.7811964
Cedar Rapids, Iowa,2376926,41.9758872,-91.6704053
Sterling Heights, Michigan,2499659,42.5803122,-83.0302033
Columbia, South Carolina,2383552,34.0007493,-81.0343313
Coral Springs, Florida,2384895,26.26485615,-80.26534203798758
Carrollton, Texas,2375543,32.9537349,-96.8902816
Elizabeth, New Jersey,2398316,40.6639916,-74.2107006
Hartford, Connecticut,2418244,41.764582,-72.6908547
Waco, Texas,2512937,31.549333,-97.1466695
Bellevue, Washington,2362031,47.6144219,-122.1923372
New Haven, Connecticut,2458410,41.3082138,-72.9250518
West Valley City, Utah,2517863,40.696629,-111.9867271
Topeka, Kansas,2507158,39.049011,-95.677556
Thousand Oaks, California,2505987,34.17142715,-118.91058772974445
El Monte, California,2397796,36.7014631,-118.7559974
Independence, Missouri,2426709,39.0924792,-94.4137923
McKinney, Texas,2448187,33.1976496,-96.6154471
Concord, California,2384020,37.9768525,-122.0335624
Visalia, California,2512682,36.3302284,-119.2920585
Simi Valley, California,2493889,34.2694474,-118.781482
Olathe, Kansas,2464639,38.8838856,-94.81887
Clarksville, Tennessee,2380893,36.5277607,-87.3588703
Denton, Texas,2391230,33.1838787,-97.1413417
Stamford, Connecticut,2498846,41.0534302,-73.5387341
Provo, Utah,2477080,40.2338438,-111.6585337
Springfield, Illinois,2498306,39.7990175,-89.6439575
Killeen, Texas,2432286,31.1171441,-97.727796
Abilene, Texas,2351598,32.44645,-99.7475905
Evansville, Indiana,2400767,37.9747645,-87.5558483
Gainesville, Florida,2408354,29.6519684,-82.3249846
Vallejo, California,2510744,38.1040864,-122.2566367
Ann Arbor, Michigan,2354842,42.2681569,-83.7312291
Peoria, Illinois,2470456,40.6938609,-89.5891008
Lansing, Michigan,2436453,42.7337712,-84.5553805
Lafayette, Louisiana,2434560,30.2240897,-92.0198427
Thornton, Colorado,2505922,39.8695516,-104.9851819
Athens, Georgia,2356940,33.9597677,-83.376398
Flint, Michigan,2404367,43.0161693,-83.6900211
Inglewood, California,2427199,33.9562003,-118.353132
Roseville, California,2484861,38.7521235,-121.2880059
Charleston, South Carolina,2378319,32.7876012,-79.9402728
Beaumont, Texas,2360899,30.0860459,-94.1018461
Victorville, California,2512106,34.5361067,-117.2911565
Santa Clara, California,2488836,37.2333253,-121.6846349
Costa Mesa, California,2385447,33.6633386,-117.903317
Miami Gardens, Florida,2450083,25.9423108,-80.23976495072381
Manchester, New Hampshire,2444674,42.9956397,-71.4547891
Miramar, Florida,2452272,25.975911449999998,-80.33472128115224
Downey, California,2393444,33.942215,-118.1235646
Arvada, Colorado,2356381,39.8211225,-105.22074299044587
Allentown, Pennsylvania,2353412,40.6022059,-75.4712794
Westminster, Colorado,2518344,39.8366528,-105.0372046
Waterbury, Connecticut,2515048,41.5538091,-73.0438362
Norman, Oklahoma,2460448,35.2225717,-97.4394816
Midland, Texas,2450465,31.9973662,-102.0779482
Elgin, Illinois,2398255,42.03726,-88.2810994
West Covina, California,2516864,34.0686208,-117.9389526
Clearwater, Florida,2381303,27.9658533,-82.8001026
Cambridge, Massachusetts,2373572,42.3750997,-71.1056157
Pueblo, Colorado,2477147,38.2544472,-104.609141
West Jordan, Utah,2517245,40.6096698,-111.9391031
Round Rock, Texas,2485177,30.508235,-97.6788934
Billings, Montana,2364254,45.7874957,-108.49607
Erie, Pennsylvania,2400052,42.1294712,-80.0852695
South Bend, Indiana,2495968,41.6833813,-86.2500066
San Buenaventura (Ventura), California,23417225,34.36410215,-119.31101461901332
Fairfield, California,2401427,38.2493581,-122.0399663
Lowell, Massachusetts,2442564,42.6334247,-71.3161718
Norwalk, California,2462248,33.9092802,-118.0849169
Burbank, California,2371863,34.1816482,-118.3258554
Richmond, California,2480904,37.9357576,-122.3477486
Pompano Beach, Florida,2474897,26.2378597,-80.1247667
High Point, North Carolina,2421250,35.9556924,-80.0053176
Murfreesboro, Tennessee,2456416,35.845999,-86.3920452
Lewisville, Texas,2438795,33.046233,-96.994174
Richardson, Texas,2480733,32.9481789,-96.7297206
Daly City, California,2389087,37.6904826,-122.4726708
Berkeley, California,2362930,37.8708393,-122.2728639
Gresham, Oregon,2414913,45.5067406,-122.4367058
Wichita Falls, Texas,2520100,33.9137085,-98.4933873
Green Bay, Wisconsin,2413753,44.5126379,-88.0125794
Davenport, Iowa,2389559,41.5236436,-90.5776368
Palm Bay, Florida,2467662,28.0330075,-80.6433552
Columbia, Missouri,2383559,38.951883,-92.3337366
Portsmouth, Virginia,2475747,36.8678592,-76.37559852679193
Rochester, Minnesota,2482950,44.0234387,-92.4630182
Antioch, California,2355124,38.0049214,-121.805789
Wilmington, North Carolina,2521361,34.2257282,-77.9447107
